DIA;MES;ANO;DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
28;10;2023;ABW;BOG;1593;465;2037867
28;10;2023;ABW;BOG;25;388;1699831
28;10;2023;ABW;BOG;156;107;470864
28;10;2023;ABW;BOG;161;651;2856810
28;10;2023;ABW;BOG;4325;1384;5855164
28;10;2023;ABW;BOG;3340;1564;6614559
28;10;2023;ABW;BOG;169;931;3939544
28;10;2023;ABW;BOG;13566;5148;21823550
28;10;2023;ABW;BOG;564;214;907326
28;10;2023;ABW;BOG;377;143;606495
28;10;2023;ABW;BOG;1317;500;2118662
28;10;2023;ABW;BOG;752;285;1009768
28;10;2023;ABW;BOG;376;143;610884
28;10;2023;ABW;BOG;29025;11015;46692289
28;10;2023;ABW;BOG;91;644;2728336
28;10;2023;ABW;BOG;30;88;361378
28;10;2023;ABW;BOG;100;314;1093545
28;10;2023;ABW;BOG;24;388;1636464
28;10;2023;ABW;BOG;344;5766;24341101
28;10;2023;ABW;BOG;75;2378;10038465
28;10;2023;ABW;BOG;347;7476;31559956
28;10;2023;ABW;BOG;41;205;858337
28;10;2023;ABW;BOG;8;18;75985
28;10;2023;ABW;BOG;4591;1391;6100309
28;10;2023;ABW;BOG;200;61;265744
28;10;2023;ABW;BOG;998;302;1326087
28;10;2023;ABW;BOG;798;242;1060343
28;10;2023;ABW;BOG;600;182;797232
28;10;2023;ABW;BOG;200;61;265744
28;10;2023;ABW;BOG;7985;2419;10610278
28;10;2023;ABW;BOG;72;363;1591831
28;10;2023;ABW;BOG;225;3300;13598106
28;10;2023;ABW;BOG;86;1444;5950999
28;10;2023;ABW;BOG;21;351;1445472
28;10;2023;ABW;BOG;113;3389;13963916
28;10;2023;ABW;BOG;241;5254;21651509
28;10;2023;ABW;BOG;60;1683;6933355
28;10;2023;ABW;BOG;228;4975;20501444
28;10;2023;ABW;BOG;10;55;225233
28;10;2023;ABW;BOG;52;582;2468706
28;10;2023;ABW;BOG;29;231;977860
28;10;2023;ABW;BOG;42;2394;10022195
28;10;2023;ABW;BOG;37;1954;8179743
28;10;2023;ABW;BOG;311;6636;27783324
28;10;2023;ABW;BOG;144;6164;25811010
28;10;2023;ABW;BOG;17;1099;4602361
28;10;2023;ABW;BOG;325;15457;63692423
28;10;2023;ABW;BOG;21;567;2336392
28;10;2023;ABW;BOG;4725;1542;6687717
28;10;2023;ABW;BOG;250;35;146545
28;10;2023;ABW;BOG;1750;242;1105087
28;10;2023;ABW;BOG;2630;658;2824402
28;10;2023;ABW;BOG;1660;498;2147191
28;10;2023;ABW;BOG;500;316;1376906
28;10;2023;ABW;BOG;5437;2690;11577033
28;10;2023;ABW;BOG;188;2514;10734050
28;10;2023;ABW;BOG;60;103;517399
28;10;2023;ABW;BOG;55;105;525195
28;10;2023;ABW;BOG;168;367;1546172
28;10;2023;ABW;BOG;60;103;526944
28;10;2023;ABW;BOG;55;105;535375
28;10;2023;ABW;BOG;168;367;1577244
28;10;2023;ABW;BOG;389;348102;1508545745
28;10;2023;ABW;BOG;474;3793;16032757
28;10;2023;BIH;BOG;5;40;168559
28;10;2023;BIH;BOG;31755;8892;37534489
28;10;2023;BIH;BOG;9000;1080;4559101
28;10;2023;AGO;BOG;3;10300;52262615
28;10;2023;AGO;BOG;30;355;1507843
28;10;2023;AGO;BOG;10;300;1073213
28;10;2023;AGO;BOG;24;1455;6183230
28;10;2023;AGO;BOG;3;566;2403659
28;10;2023;SAU;BOG;920;767;3241563
28;10;2023;SAU;BOG;8772;5875;24801764
28;10;2023;SAU;BOG;11948;9419;40272654
28;10;2023;SAU;BOG;10;138;601597
28;10;2023;SAU;BOG;962;366;1593622
28;10;2023;SAU;BOG;30;101;510750
28;10;2023;SAU;BOG;20;118;500058
28;10;2023;SAU;BOG;28;108;541941
28;10;2023;SAU;BOG;16;67;284297
28;10;2023;SAU;BOG;14;50;213223
28;10;2023;SAU;BOG;45;139;586997
28;10;2023;SAU;BOG;25;148;628246
28;10;2023;SAU;BOG;15;78;332103
28;10;2023;SAU;BOG;20;90;380755
28;10;2023;SAU;BOG;17;9267;37566194
28;10;2023;SAU;BOG;6;1711;6935983
28;10;2023;SAU;BOG;3;891;3611900
28;10;2023;SAU;BOG;16;20146;84895019
28;10;2023;SAU;BOG;6;51445;216785832
28;10;2023;SAU;BOG;10900;4093;16950873
28;10;2023;SAU;BOG;800;152;629497
28;10;2023;SAU;BOG;210;2;8697
28;10;2023;SAU;BOG;540;173;715639
28;10;2023;SAU;BOG;610;684;2834809
28;10;2023;SAU;BOG;700;219;906973
28;10;2023;SAU;BOG;469;2582;10693172
28;10;2023;SAU;BOG;5100;46176;194586301
28;10;2023;SAU;BOG;8400;76961;324950816
28;10;2023;SAU;BOG;4219;14840;65099789
28;10;2023;SAU;BOG;720;10320;42739558
28;10;2023;SAU;BOG;130;1096;4688905
28;10;2023;SAU;BOG;260;1508;6466510
28;10;2023;SAU;BOG;134;617;2647692
28;10;2023;SAU;BOG;73;483;2084242
28;10;2023;SAU;BOG;154;1153;4963867
28;10;2023;SAU;BOG;13;113;478615
28;10;2023;SAU;BOG;20;180;756275
28;10;2023;SAU;BOG;2;100;508026
28;10;2023;SAU;BOG;8;1;2882
28;10;2023;SAU;BOG;0;7;30774
28;10;2023;SAU;BOG;0;1863;7897656
28;10;2023;SAU;BOG;4;1777;7551947
28;10;2023;SAU;BOG;1;424;1798629
28;10;2023;DZA;BOG;17;750;3166102
28;10;2023;DZA;BOG;2943;19756;83741534
28;10;2023;ARG;BOG;50;1909;8105775
28;10;2023;ARG;BOG;61;38950;165498550
28;10;2023;ARG;BOG;2;3250;13809250
28;10;2023;ARG;BOG;31460;3146;13313778
28;10;2023;ARG;BOG;95950;26446;115290872
28;10;2023;ARG;BOG;51702;10376;43708900
28;10;2023;ARG;BOG;64;1010;4196489
28;10;2023;ARG;BOG;13273;2363;9784294
28;10;2023;ARG;BOG;3200;5845;24284793
28;10;2023;ARG;BOG;2751;84190;356249793
28;10;2023;ARG;BOG;1514;14171;59953243
28;10;2023;ARG;BOG;300;2937;10449926
28;10;2023;ARG;BOG;1000;7668;31138444
28;10;2023;ARG;BOG;2;3733;15159728
28;10;2023;ARG;BOG;2507;23472;99298763
28;10;2023;ARG;BOG;78;1880;8246921
28;10;2023;ARG;BOG;7;685;2823778
28;10;2023;ARG;BOG;20;146;617177
28;10;2023;ARG;BOG;0;33;138271
28;10;2023;ARG;BOG;0;74;313039
28;10;2023;ARG;BOG;5;43;182482
28;10;2023;ARG;BOG;0;850;3603022
28;10;2023;ARG;BOG;3;36;152599
28;10;2023;ARG;BOG;8;734;3111952
28;10;2023;ARG;BOG;1;45;188883
28;10;2023;ARG;BOG;0;1097;5497788
28;10;2023;ARG;BOG;0;28;100638
28;10;2023;ARG;BOG;1;143;606156
28;10;2023;ARG;BOG;10;32;136067
28;10;2023;ARG;BOG;4;35;147682
28;10;2023;ARG;BOG;10;11;45780
28;10;2023;ARG;BOG;3;74;310915
28;10;2023;ARG;BOG;1300;78;331663
28;10;2023;ARG;BOG;2;172;732465
28;10;2023;ARG;BOG;72;62;261759
28;10;2023;ARG;BOG;10;2971;10438099
28;10;2023;ARG;BOG;17075;2237;9293894
28;10;2023;ARG;BOG;760;471;1957808
28;10;2023;ARG;BOG;18625;5550;23549887
28;10;2023;ARG;BOG;4200;462;1934399
28;10;2023;ARG;BOG;355;310;1074945
28;10;2023;ARG;BOG;3240;670;2848530
28;10;2023;ARG;BOG;2;882;3867630
28;10;2023;ARG;BOG;179;17467;75018283
28;10;2023;ARG;BOG;2;65;283554
28;10;2023;ARG;BOG;1;100;410687
28;10;2023;ARG;BOG;896800;44815;187408242
28;10;2023;ARG;BOG;1;2285;10023518
28;10;2023;ARG;BOG;60000;5152;21746913
28;10;2023;ARG;BOG;0;214;868883
28;10;2023;ARG;BOG;69;3284;13313440
28;10;2023;ARG;BOG;1;215;869815
28;10;2023;ARG;BOG;155;11082;44922795
28;10;2023;ARG;BOG;24;1405;5695330
28;10;2023;ARG;BOG;10;137;555973
28;10;2023;ARG;BOG;2024;1463557;6197102738
