DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
ABW;BOG;212;3742;15156034
ABW;BOG;30;61;250901
ABW;BOG;84;183;749142
ABW;BOG;62;239;950047
ABW;BOG;2;23;89599
ABW;BOG;67;357;1417756
ABW;BOG;1058;5150;20470243
ABW;BOG;105;57;225027
ABW;BOG;560;466202;1869878521
BIH;BOG;39910;11157;44350079
BIH;BOG;11700;1404;5581026
AIA;BOG;2;1730;6885285
ATG;BOG;232;4580;18344456
ATG;BOG;150;2058;8241212
ATG;BOG;116;4927;19734132
ATG;BOG;158;2353;9425268
ATG;BOG;41;2831;11337324
ATG;BOG;142;1394;5581692
SAU;BOG;4968;3372;13801301
SAU;BOG;1400;900;3654135
SAU;BOG;4800;576;2329638
SAU;BOG;26619;20228;82469404
SAU;BOG;602;4409;17882806
SAU;BOG;120;485;1921539
SAU;BOG;46;272;1077536
SAU;BOG;40;183;725333
SAU;BOG;53;222;878961
SAU;BOG;81;250;989902
SAU;BOG;57;290;1151219
SAU;BOG;3180;2203;8942886
SAU;BOG;3934;3390;13606905
SAU;BOG;85;744;2968478
SAU;BOG;13450;4754;19573534
SAU;BOG;2400;456;1877676
SAU;BOG;1290;1258;5182138
SAU;BOG;1000;334;1375315
SAU;BOG;1430;4050;16676726
SAU;BOG;89;10548;42690940
SAU;BOG;12960;65027;259449779
SAU;BOG;28;80;323756
SAU;BOG;10880;36260;147985018
SAU;BOG;98;129;524571
SAU;BOG;375;2007;8206320
SAU;BOG;7970;35930;142824984
SAU;BOG;1440;20640;82686730
ARG;BOG;25480;2548;10099176
ARG;BOG;31650;9234;37787552
ARG;BOG;26200;5134;20726933
ARG;BOG;58800;10022;39837358
ARG;BOG;80;1210;4893857
ARG;BOG;24;25290;102601757
ARG;BOG;278;3414;14054038
ARG;BOG;441;5918;23890799
ARG;BOG;960;20723;83703340
ARG;BOG;73;1328;5363044
ARG;BOG;9533;68659;279952219
ARG;BOG;1;228;921448
ARG;BOG;1700;102;405459
ARG;BOG;0;18;70974
ARG;BOG;126;8;30052
ARG;BOG;24;1532;6183481
ARG;BOG;0;0;1938
ARG;BOG;0;41;166736
ARG;BOG;0;40;159004
ARG;BOG;0;35;137777
ARG;BOG;4200;214;864046
ARG;BOG;13150;1788;7214102
ARG;BOG;14875;4418;17821461
ARG;BOG;6125;674;2717793
ARG;BOG;880;510;2058867
ARG;BOG;10120;2366;9557932
ARG;BOG;16975;1867;7688794
ARG;BOG;17;1117;4509259
ARG;BOG;5000;24000;97068240
ARG;BOG;112000;3252;13307930
ARG;BOG;33;75;304772
ARG;BOG;125;92;375801
ARG;BOG;238;923;3698433
ARG;BOG;2290;1903119;7637141251
AUS;BOG;1980;302;1237398
